Institute,Country
"Institute of Space and Astronautical Science, JAXA",Japan
Nagoya University,Japan
KITV,
KITV,
University of Dundee,United Kingdom
"Academia Sinica, Institute of Astronomy and Astrophysics",Taiwan
Cardiff University,United Kingdom
Trieste University,Italy
University of British Columbia,Canada
East Asian Observatory,United States
University of Sheffield,United Kingdom
"Departamento de Astronomia, Universidad de Concepcion",Chile
"SAp, AIM CEA Saclay",France
IOP Publishing,United Kingdom
Liverpool John Moores University,United Kingdom
University of Sydney,Australia
University of Sydney,Australia
Finger Lakes Instrumentation,United States
New Mexico State University,United States
GMTO,
State of Hawaii,
"RSAA, Australian National University",Australia
"NRC Herzberg, DAO",Canada
University of B.C.,Canada
University of B.C.,Canada
Sacramento City College,United States
Macquarie University,Australia
MIT,United States
Harvard-Smithsonian Center for Astrophysics,United States
IPAC Caltech,United States
National Radio Astronomy Observatory,United States
"Institute for Astronomy, Univ. of Hawaii",United States
West Virginia University,United States
University of Arizona,United States
Lund Observatory,Sweden
Drexel University,United States
AURA-NSO,United States
University of Hertfordshire,United Kingdom
Brigham Young University - Idaho,United States
Macalester College,United States
University of Hawaii IfA,United States
Institute for Astronomy,United States
CNRS - LATMOS,France
"Deutsches SOFIA Institut, University of Stuttgart",Germany
Stockholm University,Sweden
Universidade de São Paulo,Brazil
"Univ. of Hawaii, Institute for Astronomy",United States
IAG - Universidade De Sao Paulo,Brazil
Hawaii News Now,
"Observatorio do Valongo, U. Federal Rio de Janeiro",Brazil
Monash University,Australia
SAAO,South Africa
University of Chicago - Yerkes Observatory,United States
Space Age Publishing Company,United States
Yale University,United States
Elon University,United States
NASA-JSC,United States
MPIfR,Germany
"Associated Universities, Inc.",United States
"MTA CsFK, Konkoly Observatory",Hungary
Space Science Institute,United States
International Centre for Radio Astronomy Research,Australia
ICRAR,Australia
Ecole Polytechnique Fédérale de Lausanne,Switzerland
Geneva Observatory,Swaziland
INAF-Oss. Astronomico di Palermo,Italy
Institut dAstrophysique Spatiale (IAS),France
"Institute for Astronomy, University of Edinburgh",United Kingdom
Gemini Observatory,United States
"Observatoire de la Cote dAzur, UMR 7293 Lagrange CNRS",France
Space Dynamics Services srl,Italy
Byurakan Astrophysical Observatory (BAO),Armenia
University of Birmingham,United Kingdom
High Altitude Observatory,United States
University of Birmingham,United Kingdom
Case Western Reserve University,United States
University of Pisa,Italy
Liden University,NETHERLANDS
Gettysburg College,United States
Smithsonian Astrophysical Observatory,United States
Queens University Belfast,United Kingdom
MIT Kavli Institute,United States
Columbia University,United States
Columbia University,United States
College of St. Scholastica,United States
University College London,United Kingdom
University of Oklahoma,United States
University of St. Thomas,United States
Queens University Belfast,United Kingdom
OCA - Laboratoire Lagrange,France
Australian National University,Australia
University of Calgary,Canada
California Institute of Technology,United States
KASI,South Korea
ETH Zurich,Switzerland
UNAB - CATA - MAS,Chile
Leiden Observatory,Netherlands
University of Central Lancashire,United Kingdom
Japan Aerospace Exploration Agency,Japan
Nagoya University,Japan
Chiba University,Japan
"Nobeyama Radio Observatory, National Astronomical Observatory of Japan",Japan
National Astronomical Observatory of Japan,Japan
National Astronomical Research Institute of Thailand (NARIT),Thailand
University of Florida,United States
"ICRAR, University of Western Australia",Australia
South African Astronomical Observatory,South Africa
Imperial College London,
McMaster University,Canada
IAU Office of Astronomy for Development,South Africa
University of Wroclaw,Poland
"Istituto Nazionale di Astrofisica - IAPS, Rome",Italy
"European Southern Observatory, HQ Garching",Germany
National Research Council,United States
Northern Arizona University,United States
Max Planck Institute for Astrophysics,Germany
Caltech,
"Monrad Engineering, Inc.",United States
Arizona State University,United States
University of Sao Paulo,Brazil
New Mexico Tech,United States
California Institute of Technology,United States
University of Central Florida (UCF) Physics,United States
The University of Texas,United States
IRAP,France
Insitut D'Astrophysique de Paris Executive Committee Member,France
Korea Astronomy and Space Science Institute,South Korea
California Institute of Technology,United States
"University of Colorado, Boulder",United States
,
Harvard-Smithsonian Center for Astrophysics,United States
Harvard-Smithsonian Center for Astrophysics,United States
The University of Alabama in Huntsville,United States
CNRS - Observatoire de la Cote dAzur,France
University of Bern,Switzerland
The Pennsylvania State University,United States
University College London,United Kingdom
University College London,United Kingdom
GMTO,
Hawaii Visitors and Convention Bureau,
The University of Toledo,United States
BoldlyGo Institute,United States
University of Maryland,United States
Princeton University,United States
Lowell Observatory,United States
Scientific American,United States
AIM Paris Saclay,France
Swinburne University,Australia
AURA,
CNRS,France
Jet Propulsion Laboratory,United States
CFHT,United States
"Department of Astronomy, University of Geneva",Switzerland
,
Anushandhitshu Chokro Science Organization,Bangladesh
"Space Research Centre, Polish Academy of Sciences",Poland
Max Planck Institute for extraterrestrial Physics,Germany
University of Florida,United States
"Department of Physics, University of Helsinki",Finland
American Institute of Physics,United States
Istituto Nazionale di AstroFisica - Osservatorio Astronomico di Cagliari,Italy
"LPL, University of Arizona",United States
SETI and NASA Ames,United States
SETI Institute,United States
Centro Intenacional de Fisica,Colombia
Centro Intenacional de Fisica,Colombia
"Instituto de Astronomia, UNAM",Mexico
"University of California, Berkeley",United States
US Naval Observatory,
Canada-France-Hawaii Telescope,United States
KiddieCorp,
Butler University,United States
Swinburne University of Technology,Australia
University of Texas Arlington,United States
Copperbelt University,Zambia
Jodrell Bank Centre for Astrophysics,United Kingdom
Smithsonian Astrophysical Observatory,United States
"University of Tokyo, Kavli-IPMU",Japan
"Shamakhy Astrophysical Observatory, Qafqaz University",Azerbaijan
The Univ. Tokyo,Japan
Yale University,United States
University of Toledo,United States
University of Alabama,United States
CAB CSIC-INTA,Spain
National Optical Astronomy Observatory,United States
UH Maui College,United States
National Astronomical Observatory of Japan,Japan
KWAI 1080 The Morning Show,
Swinburne University of Technology,Australia
IISER Kolkata and GSU,India
Max-Planck-Institut for Extraterrestrische Physik,Germany
UCLA,United States
INAF - Observatory of Capodimonte Italy,Italy
"National Optical Astronomy Observatory, University of Arizona",United States
National Astronomical Observatory of Japan,Japan
Space Research Centre of the PAS,Poland
UCLan,United Kingdom
Yale University,
Pontificia Universidad Catolica de Chile,Chile
NIST,United States
NASAs Goddard Space Flight Center,United States
Universidad de Alicante,Spain
CEA/NDU,France
HM Nautical Almanac Office,United Kingdom
Planetary Science Institute,United States
Pennsylvania State University,United States
Yale University,United States
Planetary Science Institute,United States
DST,South Africa
"University of Maryland, Baltimore County",United States
Southwest Research Institute,United States
Johns Hopkins University,United States
German Aerospace Center (DLR),Germany
Max-Planck Institute for Astronomy,Germany
The University of Hong Kong,Hong Kong
California Institute of Technology,United States
University of Lodz,Poland
Cornell University,United States
Universidad de Guadalajara,Mexico
National Astronomical Observatory of Japan,Japan
Universe Awareness (UNAWE),
University of Helsinki,Finland
"Astrophysics Department, American Museum of Natural History",United States
KOHN 2 News,
National Astronomical Observatory of Japan,Japan
Nagano National College of Technology,Japan
National Astronomical Observatory of Japan,Japan
Radboud University,Netherlands
Gemini Observatory,United States
"Institute for Astronomy, University of Hawaii Manoa",United States
"Dept. of Astronomy, Kyoto University",Japan
Korea Astronomy and Space Science Institute,South Korea
NASA Goddard Space Flight Center,United States
Tokyo Institute of Technology,Japan
STScI,United States
Rochester Institute of Technology,United States
Uppsala University,Sweden
"Niels Bohr Institute, Copenhagen University",Denmark
NOAO,United States
STScI/ESA,
"Department of Astronomy, Graduate School of Science, Kyoto University",Japan
Kyoto University,Japan
"Subaru Telescope, National Astronomical Observatory of Japan",United States
University of Belgrade,Serbia
Jagiellonian University,Poland
University of Texas at Arlington,United States
CEA Saclay,France
Harvard-Smithsonian CfA,United States
Westminster College,United States
University of Leicester,United Kingdom
"CDS, Observatoire Astronomique de Strasbourg",France
St. Lawrence University,United States
Yale University,United States
Institute for Astro- and Particle Physics,Austria
University of Michigan,United States
UMass Amherst,United States
Weizmann Institute of Science,Israel
University of Hawaii at Manoa,United States
Harvard-Smithsonian Center for Astrophysics,United States
University of Tokyo,Japan
Abia State University,Nigeria
Abia State University,Nigeria
National Institute for Mathematical Sciences,South Korea
National Institute for Mathematical Sciences,South Korea
Nagoya University,Japan
University of St Andrews,United Kingdom
Tokyo Metropolitan University,Japan
Tokyo Metropolitan University,Japan
National Astronomical Observatory of Japan,Japan
"Instituto de Astronomia, Universidad Catolica del Norte",Chile
The University of Tokyo,Japan
JAXA ISAS,Japan
Hosei University,Japan
,
Hosei University,Japan
Subaru Telescope,United States
State of Hawaii,
,
Universidad Andres Bello,Chile
Keele University,United Kingdom
Space Telescope Science Institute,United States
U. S. Naval Observatory,United States
NOAO,United States
The Gruber Foundation,
Swedish Research Council,Sweden
National Center of Space Research an Technology Fessenkov Astrophysical Institut,Kazakhstan
National Center of Space Research an Technology Fessenkov Astrophysical Institut,Kazakhstan
Stanford University,United States
University of Tokyo,Japan
Osaka Prefecture University,Japan
"SOKENDAI (The Graduate University for Advanced Studies), NAOJ",Japan
Osaka Prefecture University,Japan
"Sokendai, National Astronomical Observatory of Japan",Japan
"Bunkyo University, Japan",Japan
,
University of New South Wales,Australia
"University of Colorado, Boulder",United States
INAF - Bologna Observatory,Italy
"Department of Physics and Astronomy, University of Padova",Italy
Ecole Normale Superieure (Paris),France
Ball Aerospace,United States
"Stockholm University, Department of Astronomy",Sweden
The Gruber Foundation,
Princeton University,
University of Wroclaw,Poland
Embry-Riddle Aeronautical University,United States
European Southern Observatory,Germany
The Chinese University of Hong Kong,Hong Kong
The University of Tokyo,Japan
Macquarie University Dept of Physics and Astronomy,Australia
NASAGoddard Space Flight Center,United States
Princeton University,
,
Caltech,United States
Acadamy of Sciences of Czech Republic Executive Committee Member,Czech Republic
"Hokkaido University, Japan",Japan
Harvard-Smithsonian Center for Astrophysics,United States
"National Astronomical Observatories, CAS",
Shanghai Institute of Technology,China
,United States
Slooh,United States
Konkoly Observatory,Hungary
"Dirección de Bibliotecas, Archivos y Museos.",Chile
Korean Astronomy and Space Science Institute,South Korea
Korea Astronomy and Space Science Institute,South Korea
Jet Propulsion Laboratory,United States
University of Texas at Arlington,United States
Kyung Hee University,South Korea
American Astronomical Society,United States
EAO/JCMT,United States
Haverford College,United States
Williams College,United States
Williams College,United States
Williams College,United States
The Open Univeristy,United Kingdom
University of South Florida,United States
University College London (MSSL),United Kingdom
Astronomical Institute of Romanian Academy,Romania
Boston University,United States
Centre de Recherche Astrophysique de Lyon (CRAL),France
"Jeremiah Horrocks Institute, University of Central Lancashire",United Kingdom
PE Third Planet,Ukraine
INST. ASTRONOMIA - U. N. A. MEXICO,Mexico
INST. ASTRONOMIA - U. N. A. MEXICO,Mexico
,Italy
"Instituto de Astronomia, UNAM",Mexico
University of Edinburgh,United Kingdom
,
NASA Ames Research Center,United States
"Peking University, KIAA",China
"Nanjing Uinversity, China",China
GMTO,
The Gruber Foundation,
NASA Headquarters,United States
Graduate Theological Union,United States
Dark Cosmology Centre,Denmark
Institute for Computational Science,Switzerland
Chalmers University of Technology,Sweden
Leiden Observatory,Netherlands
University of Southern California,United States
,United States
Drexel University,United States
SETI,United States
Smithsonian Astrophysical Observatory,United States
Gemini Observatory,United States
Leiden Observatory,Netherlands
Princeton University,United States
LSST,
Hokkaido University,Japan
University of Heidelberg,Germany
National Solar Observatory,United States
University of Geneva,Switzerland
National Science Foundation,United States
Boston University,United States
Scuola Normale Superiore di Pisa and INAF-IASFBO,Italy
"Institute of Physics, University of Graz",Austria
Inst. Astronomia - U. N. A. Mexico,Mexico
Imperial College London,United Kingdom
European Association for Astronomy Education,United Kingdom
Oceanit,United States
Warsaw University Observatory,Poland
Universidad Andres Bello,Chile
Radboud University,Netherlands
Indiana University Bloomington,United States
"Institute of Astrophysics, University of Vienna",Austria
Harvard University,United States
University of Hertfordshire,United Kingdom
Leiden Observatory,Netherlands
Earth and Planetary Sciences Department - Univ. of Tennessee,United States
Observatório do Valongo,Brazil
Consejo Nacional de Investigaciones Científicas y Tecnicas,Argentina
University Di Padova,
Centro de Radioastronomía y Astrofísica,Mexico
St. Petersburg state University,Russia
IAA RAS,Russia
"Konkoly Observatory, MTA CSFK",Hungary
Missouri State University,United States
Smithsonian Astrophysical Observatory,United States
Pennsylvania State University,United States
"University of Massachusetts, Amherst",United States
Montreal Convention Centre,Canada
Montreal Convention Centre,Canada
Weizmann Institute of Science,Israel
Marquette University,United States
University of Canterbury,New Zealand
HITS gGmbH,Germany
CEA Saclay - IRFU,France
National Optical Astronomy Observatory,United States
Sam Houston State University,United States
Romanian Space Agency,
Harvard-Smithsonian Center for Astrophysics,United States
Harvard-Smithsonian Center for Astrophysics,United States
"Sternberg Astronomical Institute, Moscow State University",Russia
FNRS @ ULB Institut dAstronomie et dAstrophysique,Belgium
FNRS @ ULB Institut dAstronomie et dAstrophysique,Belgium
University of Arkansas,United States
Center for Astronomy Education,United States
CEA Saclay - DSM - IRFU - Service dAstrophysique,France
"Astron. Inst. AS CR, Ondrejov Observatory",Czech Republic
The University of Texas McDonald Observatory,United States
Tel Aviv University Executive Committee Member,Israel
"Museum of Science and Industry, Chicago",United States
UC Berkeley,United States
University of Oxford,United Kingdom
European Southern Observatory,Germany
Phoenix Engineering Inc,United States
Universidad de Concepcion,Chile
Astronomical Society of the Pacific,
University of Delaware,United States
Villanova University,United States
Canada-France-Hawaii Telescope,United States
ESTEC / ESA,
University of Minnesota,United States
"Institute for Astro- and Particle Physics, University of Innsbruck",Austria
"Institut dAstrophysique Spatiale,",France
MAS,
,
Columbia University,United States
National Science Foundation,United States
"Institute of Astrophysics, Pontificia Universidad Catolica",Chile
University of Leicester,United Kingdom
University of Leicester,United Kingdom
University of Minnesota,United States
"Dept. of Astronomy, School of Physics, Peking Univ.",China
"Dept. of Astronomy, School of Physics, Peking Univ.",China
"Institute of High Energy Physics, CAS",China
"Yunnan Observatories, CAS",China
"ETH Zurich, Institute for Astronomy",Switzerland
U. Cambridge,United Kingdom
EDP SCIENCES,France
University of Mons,Belgium
International Centre for Radio Astronomy Research (ICRAR),Australia
NASA Ames Research Center,United States
Landessternwarte Heidelberg,Germany
IMAPP Radboud University Nijmegen,Netherlands
Istituto Ricerche Solari Locarno (IRSOL),Switzerland
"Anton Pannekoek Institute for Astronomy, Amsterdam",Netherlands
CRyA UNAM,Mexico
Universidad de Guadalajara,Mexico
Harvard-Smithsonian Center for Astrophysics,United States
South African Astronomical Observatory,South Africa
The George Washington University,United States
NASA Ames Research Center,United States
University of Pittsburgh,United States
ASIAA Hawaii,United States
"University of Colorado, Boulder",United States
CSIRO Astronomy and Space Science,Australia
"Nehru Planetarium, Nehru Memorial Museum and Library, New Delhi",India
Institute for Astrophysics,Austria
Carnegie Observatories,United States
Space Telescope Science Institute,United States
University of Hawaii,United States
"Department of Physics, University of Pisa",Italy
USRA,United States
University of Surrey,United Kingdom
National Solar Observatory,United States
National University of Ireland Galway,Ireland
University of Leeds,
Missouri State University,United States
Kutztown University of Pennsylvania,United States
Kutztown University of Pennsylvania,United States
,
University of Leeds,United Kingdom
,
Observatoire de Paris - LESIA - CNRS,France
Space Telescope Science Institute,United States
Macquarie University,Australia
Institute for Astro- and Particle Physics,Austria
Institute for Astronomy,United States
European Southern Observatory,Germany
NRAO,United States
"Institute for Astronomy, University of Hawaii",United States
CEA-Saclay,France
EPFL,Switzerland
Chungnam National University,South Korea
University of Maryland College Park,United States
NASA JPL,United States
Institute de Cienceies de l'Espai Executive Committee Member,Spain
European Space Astronomy Center (ESA),Spain
UCLA,United States
Centre de Recherche Astrophysique de Lyon,France
Elon University,United States
Universidad Nacional Autonomo de Mexico,Mexico
Caltech,United States
NASA HQ and SDSE LLC,United States
University of Michigan-Flint,United States
Cornell University,United States
University of Zurich - Center for Theoretical Astrophysics and Cosmology,Switzerland
Inst. Recherches en Astrophysique et Planetologie,France
NASA Goddard Space Flight Center,United States
Valongo Observatory UFRJ,Brazil
Predictive Science inc.,United States
National Solar Observatory,United States
University of St Andrews,United Kingdom
University of Washington,United States
ESA-ESAC,Spain
W.M. Keck Observatory,United States
Space Telescope Science Institute,United States
Brandeis University,United States
University of Colorado - Boulder,United States
Cinvestav IPN,Mexico
Institut dAstrophysique de Paris,France
University College London,United Kingdom
Jet Propulsion Laboratory Caltech,United States
Valongo Observatory - Federal University of Rio de Janeiro,Brazil
"University of Sao Paulo, Magno High School",Brazil
Think Tech Hawaii,
Ministry of Foreign Affairs,Chile
NASA Ames Research Center,United States
University of Michigan,United States
California Institute of Technology,United States
University of Manitoba,Canada
Universidad de Chile,Chile
"INAF, Osservatorio Astronomico di Bologna",Italy
San Jose State University,United States
CEA Saclay,France
Technical University of Catalonia,Spain
"University of California, Santa Cruz",United States
New Mexico Tech and NRAO,United States
Lawrence Livermore National Laboratory,United States
Sejong University,South Korea
GMTO,Chile
Large Binocular Telescope Observatory,United States
Smithsonian Astrophysical Observatory,United States
NASA TV / JPL,
National Council of Science of Technology Executive Committee Member,Argentina
SETI Institute,United States
Nice University (UNSA),France
University of Arizona,United States
ShanDong University at Weihai,China
ShanDong University at Weihai,China
"Departamento de Astronomia, Universidad de Chile",Chile
University of St. Thomas,United States
University of Toronto,Canada
Minor Planet Center,United States
"University of California, Santa Cruz",United States
University of Leicester,United Kingdom
Retired,United States
University of California Los Angeles,United States
Retired,United States
Leiden University,Netherlands
National Institute of Standards and Technology,United States
National Institute of Standards and Technology,United States
KITV,
Jagiellonian University - Astronomical Observatory,Poland
"Institute of Theoretical Astrophysics, University of Oslo",Norway
Smithsonian Astrophysical Obs.,United States
STScI,United States
Universidad de Los Andes,Colombia
"CAASTRO, The University of Sydney",Australia
University of Utah,United States
University of Manitoba,Canada
NOAO,United States
European Space Agency,Spain
Space Telescope Science Institute,United States
Pt. Ravishankar Shukla University Raipur,India
Tohoku University,Japan
Tata Institute of Fundamental Research,India
University of Tokyo,Japan
Nagoya University,Japan
National Astronomical Observatory of Japan (NAOJ),Japan
NASA Ames Research Center,United States
University of Melbourne,Australia
Australian National University,Australia
NASA- Ames Research Center Space Science Astrobiology Division,United States
MPE,Germany
Emmanuel College,United States
University of Colorado Boulder,United States
"Instituto de Astronomia, Universidad Nacional Autonoma de México",Mexico
Fisk and Vanderbilt University,United States
Universidad Complutense de Madrid,Spain
University of Hawaii,United States
UCLA,United States
OPCC AURA Inc.,Chile
IAU Office of Astronomy for Development,South Africa
SOFIA Science Center,United States
Smithsonian Astrophysical Observatory,United States
Harvard-Smithsonian Center for Astrophysics,United States
Rochester Institute of Technology,United States
"Florida Space Institute, University of Central Florida",United States
Raman Research Institute,India
University of Trieste,Italy
Nihon University,Japan
National Institutes of Natural Sciences,Japan
National Institutes of Natural Sciences,Japan
University of Texas at Arlington,United States
Columbia University,United States
Arizona State University,United States
University of Victoria,Canada
University of Victoria,Canada
Georgia State University,United States
"Geneva Observatory, University of Geneva CNRS",Switzerland
ETH Zurich,Switzerland
Leiden Observatory,Netherlands
Massachusetts Institute of Technology,United States
University of Colorado,United States
"Astronomical Institute, ASCR, Ondrejov",Czech Republic
University of Manchester,United Kingdom
Press,Netherlands
MPIA,Germany
Massachusetts Institute of Technology,United States
CAPER,
MIT,United States
University of Oulu,Finland
University of California Santa Barbara,United States
University of Arizona Steward Observatory,United States
NED - IPAC,United States
"Department of Physics, McGill University",Canada
Technion,Israel
Associated Universities Inc,United States
Associated Universities Inc,United States
"GFZ, German Research Centre for Geosciences",Germany
European Space Agency,Netherlands
European Southern Observatory (ESO),Germany
Max Planck Institute for Solar System Research,Germany
Universidad Nacional Autonoma de Mexico,Mexico
Max Planck Institute for Gravitational Physics,Germany
Smithsonian Astrophysical Observatory,United States
AAS,
"NASA Ames Research Center, BAERI",United States
INAF-Oss. Astronomico di Palermo,Italy
University of British Columbia,Canada
The CHARA Array,United States
CalTech,United States
Arizona State University,United States
The Gruber Foundation,
"Mullard Space Science Laboratory, University College London",United Kingdom
US naval observatory,United States
Goddard Space Flight Center,United States
South African Astronomical Observatory,South Africa
South African Astronomical Observatory,South Africa
University of Minnesota Duluth,United States
Armagh Observatory,United Kingdom
National Astronomical Observatory of Japan,Japan
Kyoto University,Japan
"Dark Cosmology Centre, Niels Bohr Institute",Denmark
Space Telescope Science Institute,United States
Pusan National University,South Korea
Pusan National University,South Korea
KOREA Astronomy and Space Science Institute,South Korea
,
KITV,
,
University of Saskatchewan,Canada
American Astronomical Society,United States
University oif lethbridge,Canada
USRA Arecibo Observatory,
University of Tasmania,Australia
Moscow State University Sternberg Astronomical Institute,Russia
Moscow State University Sternberg Astronomical Institute,Russia
Harvard University,United States
,
National Tsing Hua University,Taiwan
CURTIN-ATNF,Australia
"Shanghai Astronomical Observatory, CAS",China
Max Planck Institute for Solar System Research,Germany
Jet Propulsion Laboratory,United States
Special Astrophysical Observatory of Russian Academy of Sciences,Russia
ICRAR,Australia
Cornell University,United States
University of Michigan Astronomy,United States
Indian Institute of Astrophysics,India
University of Concepcion,Chile
"Department of Astronomy, University of Maryland",United States
"LaGuardia Community College, City University of New York",United States
AAO,Australia
"Shanghai Astronomical Observatory, CAS",China
Yunnan Observatories,China
Metropolitan State University,United States
"University of Hawaii, Honolulu Community College",United States
Raman Research Institute,India
NASA HQ,United States
North China Institute of Aerospace Engineering,China
University of Tokyo,Japan
"Kwasan and Hida Observatories, Kyoto University",Japan
"IAU Office for Astronomy Outreach, National Astronomical Observatory of Japan",Japan
European Southern Observatory Executive Committee Member,Germany
Laguna Falls Institute of Astrophysics,United States
Gemini Observatory,United States
Seoul National University,South Korea
Hokkaido University,Japan
Sokendai,Japan
"ISAS, JAXA",Japan
University of Maryland,United States
Tohoku University,Japan
Seoul National University,South Korea
Kyung Hee University,South Korea
Texas AM University,United States
National Astronomical Observatory of Japan,Japan
,Nepal
Nepal Astronomical Society NASO,Nepal
Institute of Astronomy of RAS,Russia
Abastumani Astrophysical Observatory of name of Kharadze,Georgia
Abastumani Astrophysical Observatory of name of Kharadze,Georgia
"University of California, Riverside",United States
UNESCO Executive Committee Member,
University of Wisconsin -- MIlwaukee,United States
Max Planck Institute for Solar System Research,Germany
"IoA, Cambridge",United Kingdom
The Gruber Foundation,
National Optical Astronomy Observatory Executive Committee Member,United States
UH Hilo,
University of Texas at Austin,United States
Kavli IPMU,Japan
Kyung Hee University,South Korea
Astronomers Without Borders,United States
Carnegie Observatories,United States
"Honolulu, HI",United States
Canada-France-Hawaii Telescope,United States
Johns Hopkins University,United States
SETI Institute,United States
"Institute of Astrophysics, Pontificia Universidad Catolica de Chile",Chile
"University of Hawaii, Institute for Astronomy",United States
Universite Libre de Bruxelles,Belgium
,United States
Thirty Meter Telescope,United States
The Boeing Company,United States
"Geneva Observatory, University of Geneva",Switzerland
University of Wyoming,United States
CAPER,
Spectral Instruments,United States
McMaster University,Canada
University of Hawaii at Manoa,United States
University of St Andrews,United Kingdom
Austin Peay State University,United States
AURA,Chile
Space Telescope Science Institute,United States
NOAO,United States
Space Telescope Science Institute,United States
SETI Institute NASA Ames,United States
University of Arizona,United States
"North Carolina Museum of Natural Sciences, Appalachian State University",United States
Harvard-Smithsonian Center for Astrophysics,United States
National Optical Astronomy Observatory,United States
Austin Peay State University,United States
National Optical Astronomy Observatory,United States
IAU - UAI Secretariat Executive Committee Member,
University of Alaska Anchorage,United States
Nicolaus Copernicus Astronomical Center,Poland
University of Texas,United States
Astronomical Institute of the Czech Academy of Sciences,Czech Republic
Astronomical Institute of the Czech Academy of Sciences,Czech Republic
Leiden Observatory + IA-U. Lisbon,Portugal
Planetarium of the Federal University of Goias,Brazil
Space Telescope Science Institute,United States
"Instituto de Astronomia, Geofisica e Ciencias Atmosfericas - USP",Brazil
University of Sao Paulo,Brazil
University of Virginia,United States
Columbia University,United States
Max Planck Institute for Solar System Research,Germany
"IAS, Orsay",France
Springer,
Hawaii Public Radio,
Jet Propulsion Laboratory/Caitech,United States
National Institute for Mathematical Sciences,South Korea
Korea Institute for Advanced Study,South Korea
"National Center for Space Weather, China Meteorological Administration",China
"Swami Ramanand Teerth Marathwada University, Nanded",India
NASAs Goddard Space Flight Center,United States
STScI,United States
National Astronomical Research Institute of Thailand,Thailand
Observatoire de Paris - LESIA - CNRS,France
CURE - Universidad de la Republica,Uruguay
Warsaw University Observatory,Poland
Observatoire de Paris,France
Keele University,United Kingdom
Leibniz-Institut fuer Astrophysik Potsdam (AIP),Germany
NASA Headquarters,United States
National Optical Astronomy Observatory,United States
University of Missouri,United States
Princeton University,United States
Museu de Astronomia e Ciencias Afins (MAST),Brazil
Space Dynamics Services srl,Italy
Associated Universities Inc.,
"Associated Universities, Inc.",United States
"Astronomical Institute of the Czech Academy of Sciences, Ondrejov Observatory",Czech Republic
TMT/Caltech,United States
Johns Hopkins University -- NASA Goddard Space Flight Center,United States
Argelander Institute for Astronomy,Germany
NOAO,United States
NASA Goddard Space Flight Center,United States
University of Manchester,United Kingdom
"Leibniz Institute for Astrophysics, Potsdam",Germany
Earth and Space Exploration ASU,United States
NASA Goddard Space Flight Center,United States
American Astronomical Society,
NRC Herzberg Astronomy and Astrophysics,Canada
Leibniz Institute for Astrophysics Potsdam (AIP),Germany
University of Sydney,Australia
German Aerospace Center,Germany
University of Lodz,Poland
The Gruber Foundation,
KITV,
JPLCaltech,United States
Space Research Centre Polish Academy of Sciences,Poland
Glasgow Caledonian University,United Kingdom
Glasgow Caledonian University,United Kingdom
Space Telescope Science Institute (STScI),United States
National Tsing Hua University,Taiwan
Freelance,Germany
Universite de Montreal,Canada
"Institute for Astronomy, University of Hawaii",United States
Elsevier,Netherlands
Instituto de Fisica - Universidade Federal do Rio Grande do Sul,Brazil
University of New South Wales,Australia
"Spitzer Science Center-IPAC, Caltech",United States
NASA Goddard Space Flight Center,United States
LCOGT,United States
Caltech,United States
University of British Columbia,Canada
Universite de Montreal,Canada
Southwestern Illinois College,United States
MIT,United States
Raman Research Institute,India
Nagoya City University,Japan
Osaka University,Japan
"Institute for the History of Natural Sciences, Chinese Academy of Sciences",China
Peking University,China
Chinese Astronomical Society,
Amrita Vishwa Vidyapeetham University,India
Korea Astronomy and Space Science Institute,South Korea
National Tsing Hua University,Taiwan
"Max-Planck Institut fuer Astrophysik, Space Research Institute, Moscow",Germany
"Max-Planck Institut fuer Astrophysik, Space Research Institute, Moscow",Germany
The Gruber Foundation,
Caltech,United States
"Department of Physics, The University of Tokyo",Japan
"Department of Astronomy, University of Geneva",Switzerland
Academia Sinica Institute of Astronomy and Astrophysics (ASIAA),Taiwan
"Department of Physics, Nagoya University",Japan
University of Notre Dame,United States
Stanford University,United States
Space Research Centre Polish Academy of Science,Poland
Argelander-Institut fur Astronomie,Germany
University of Washington,United States
JIVE,Netherlands
Academia Sinica Institute of Astronomy and Astrophysics,Taiwan
Nagoya University,Japan
Observatorio Astronomomico Nacional (IGN),Spain
,
The Kavli Foundation,United States
KOHN 2 News,
Tokai University,Japan
Academia Sinica Institute of Astronomy and Astrophysics,Taiwan
University of Hawaii Hilo,United States
"Universidad Andres Bello, Millennium Institute of Astrophysics",Chile
NAOJ,Japan
Takshashila Astronomy Club,Nepal
University of Toronto,Canada
"Center for Theoretical Astrophysics and Cosmology, University of Zurich",Switzerland
University of Tokyo,Japan
"Kavli IPMU, The Univ of Tokyo",Japan
University of Florida,United States
Okayama University of Science,Japan
Okayama University of Science,Japan
Keio University,Japan
Tohoku University,Japan
The Chinese University of Hong Kong,China
Jilin University,China
"Research Center for Space and Cosmic Evolution, Ehime University",Japan
Universidad Diego Portales,
International Centre for Radio Astronomy Research @ Uni. of Western Australia,Australia
SETI Institute,United States
Laboratoire dAstrophysique de Marseille,France
Hokkaido University,Japan
University of Wyoming,United States
European Space Agency,Netherlands
Vilnius University,Lithuania
Nagoya University,Japan
Arecibo Observatory,Puerto Rico
Instruments4,United States
Max Planck Institute for Astronomy,Germany
Macalester College,United States
Abastumani Astrophysical Observatory of name of Kharadze,Georgia
